タイムスタンプ,あなたの年齢(半角数字整数で入力してください),あなたの性別,自分の歌唱力についてご回答ください。,歌った楽曲の名前（アーティストの名前）,この曲のAメロの難易度をご回答ください。,（３，４と答えた方のみ）難しい理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲のBメロの難易度をご回答ください。,上記の難易度にした理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲のサビの難易度をご回答ください。,上記の難易度にした理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲の嗜好度（どれくらい好きか）をご回答ください。,この曲のメロディをどれくらい覚えているかをご回答ください。,この曲を聴く頻度をご回答ください。,この曲のなじみやすさを直感的にご回答ください。,その他、この曲について何かあればご記入ください,,（３，４と答えた方のみ）難しい理由,（３，４と答えた方のみ）難しい理由
1,23,男性,3,チェリー(スピッツ),2,滑らかに歌うことが難しいAメロだったから。,,1,メロディが複雑で正確に音程を取りづらい,,3,メロディが複雑で正確に音程を取りづらい,,3,完璧に覚えている,1,3,,,,
1,23,男性,3,TSUNAMI(サザンオールスターズ),1,自分の音域に合っている,,1,自分の音域に合っている,,2,音程の移り変わりが比較的単調であり、かつテンポがゆるい,,3,だいたいは覚えている,2,2,,,,
1,23,男性,3,紅蓮の弓矢(linked horizon),2,音域が滑らかに推移しており極端な上下が無い。,,3,ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある,,3,リズムが複雑でわかりにくい,,3,だいたいは覚えている,1,2,,,,
1,23,男性,3,浪漫飛行(米米CLUB),3,メロディが複雑で正確に音程を取りづらい,,2,メロディが複雑で正確に音程を取りづらい,,3,音の飛びが激しく音程がとれない,,2,だいたいは覚えている,1,2,,,,
1,23,男性,3,アポロ(ポルノグラフィティ),1,"テンポが速い, テンポは早いが音域がそこまで広くはない印象",,3,ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある,,4,"ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある, いきなり高音から始まるので当てるのが難しい",,3,完璧に覚えている,2,3,,,,
1,23,男性,3,粉雪(レミオロメン),1,音の推移が緩やかでテンポも遅い。,,1,テンポが緩く音域が自分に合っているから。,,3,音域が広い,,3,完璧に覚えている,2,3,,,,
2,21,男性,3,スピッツ,1,ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある,,1,"ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある, なし",,1,音域が広い,,4,完璧に覚えている,1,4,,,,
2,21,男性,3,サザンオールスターズ,2,"音の飛びが激しく音程がとれない, 始まりの音が低く、当てられない",,2,"音の飛びが激しく音程がとれない, 音が上下に変わるので、正確に当てづらい",,1,音域が広い,,4,完璧に覚えている,1,4,,,,
2,21,男性,3,Linked Horizon,2,"リズムが複雑でわかりにくい, 英語の歌詞, 低い音がとりづらい",,3,"音の飛びが激しく音程がとれない, テンポが速い, ｢進む意思よ笑う豚よ｣(？)の音の飛び方が難しい",,1,テンポが速い,,3,あまり覚えてない,1,1,,,,
2,21,男性,3,米米CLUB,3,"メロディが複雑で正確に音程を取りづらい, 音域が広い",,4,"メロディが複雑で正確に音程を取りづらい, オク下で歌っているため、低いところ｢夢を見てよ、など。｣が合わせづらい",,2,ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある,,2,だいたいは覚えている,1,4,,,,
2,21,男性,3,ポルノグラフィティ,2,"音域が広い, テンポが速い",,2,"メロディが複雑で正確に音程を取りづらい, テンポが速い, 16分音符などが多くてリズムが細かい",,1,"音域が広い, テンポが速い",,4,だいたいは覚えている,1,4,,,,
2,21,男性,3,粉雪,1,ゆっくりで歌いやすいが、低いところは当てづらい,,2,ララライララライの後下がるので合わせづらい,,3,"音域が広い, 音が高く、むせた",,3,だいたいは覚えている,1,4,,,,
1,23,男性,3,アイネクライネ(米津玄師),4,"ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある, とにかく息継ぎをするタイミングがない",,2,音域が比較的出しやすいのでそこまで難しく感じない,,3,"音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい, 音が飛ぶ部分があり油断すると外す。",,4,完璧に覚えている,4,4,,,,
1,23,男性,3,晴れ舞台(ジェロ),4,"メロディが複雑で正確に音程を取りづらい, シャウトやビブラートなど特殊奏法, 丁寧に、完璧に音を当てるのが他の歌より難しいイメージ。",,4,シャウトやビブラートなど特殊奏法,,4,シャウトやビブラートなど特殊奏法,,4,完璧に覚えている,4,4,,,,
2,21,男性,3,オレンジレンジ,4,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい, 歌詞が難しい",,2,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,3,"リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい, シャウトやビブラートなど特殊奏法",,4,あまり覚えてない,2,3,,,,
2,21,男性,3,米津玄師,4,"メロディが複雑で正確に音程を取りづらい, テンポが速い, 16分音符などが多くてリズムが細かい, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある, 歌詞が複雑で歌いづらい",,1,"テンポが速い, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある",,4,"テンポが速い, リズムが複雑でわかりにくい, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある",,4,だいたいは覚えている,2,3,早口言葉,,,
3,21,男性,3,チェリー(スピッツ),2,メロディが複雑で正確に音程を取りづらい,,2,メロディが複雑で正確に音程を取りづらい,,2,音域が広い,,2,完璧に覚えている,1,4,,,,
3,21,男性,3,TSUNAMI(サザンオールスターズ),3,メロディが複雑で正確に音程を取りづらい,,3,リズムが複雑でわかりにくい,,2,音域が広い,,3,あまり覚えてない,1,2,,,,
3,21,男性,3,紅蓮の弓矢(リンク・ド・ホライズン),2,"音の飛びが激しく音程がとれない, テンポが速い",,4,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, テンポが速い",,2,テンポが速い,,1,だいたいは覚えている,1,1,,,,
3,21,男性,3,浪漫飛行(米米クラブ),3,"音の飛びが激しく音程がとれない, 音程が低い",,3,"音の飛びが激しく音程がとれない, 音程が低い",,2,音の飛びが激しく音程がとれない,,4,完璧に覚えている,3,3,,,,
3,21,男性,3,アポロ(ポルノグラフィティ),3,"音の飛びが激しく音程がとれない, テンポが速い, リズムが複雑でわかりにくい",,3,"テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,4,"音の飛びが激しく音程がとれない, 音域が広い, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,1,完璧に覚えている,1,1,,,,
3,21,男性,3,粉雪(コブクロ),1,音程は低いが音の跳躍等がないので歌いやすい,,2,"音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい",,4,"音の飛びが激しく音程がとれない, 音域が広い, リズムが複雑でわかりにくい",,4,完璧に覚えている,3,4,,,,
3,21,男性,3,浮世CROSSING(UVERworld),4,"音の飛びが激しく音程がとれない, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,2,"音域が広い, テンポが速い",,4,"音の飛びが激しく音程がとれない, 音域が広い, テンポが速い",,4,完璧に覚えている,4,1,基本誰が歌っても難しいと答えると思います,,,
3,21,男性,3,LOSER(米津玄師),4,"メロディが複雑で正確に音程を取りづらい, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,3,"テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,3,"音域が広い, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,4,完璧に覚えている,3,3,全体的に滑舌が追いつきません,,,
4,24,男性,,スピッツ,1,あ,,1,,,2,,,4,完璧に覚えている,2,4,,,あ,あ
4,24,男性,,サザンオールスターズ,3,メロディが複雑で正確に音程を取りづらい,,3,,,2,,,4,だいたいは覚えている,1,3,,,"メロディが複雑で正確に音程を取りづらい, 音域が広い",
4,24,男性,,Linked Horizon,4,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい",,2,,,2,,,3,あまり覚えてない,1,2,,,,
4,24,男性,,米米CLUB,1,,,1,,,1,,,4,完璧に覚えている,1,3,,,,
